,,,,,,
,,,,,,
,,,,,,
2023 Worldwide Box Office,,,,,,
2023,,,,,,
Rank,Release Group,Worldwide,Domestic,%,Foreign,%
186,House Party,"$9,285,747","$9,002,247",96.90%,"$283,500",3.10%
187,Rafadan Tayfa 4: Hayrimatör,"$9,239,481",-,-,"$9,239,481",100%
188,The Animal Kingdom,"$9,138,503","$11,767",0.10%,"$9,126,736",99.90%
189,All Your Faces,"$9,065,011",-,-,"$9,065,011",100%
190,Cats in the Museum,"$9,012,165",-,-,"$9,012,165",100%
191,The Wandering Earth II,"$8,854,786","$5,023,132",56.70%,"$3,831,654",43.30%
192,Father & Soldier,"$8,598,322",-,-,"$8,598,322",100%
193,PreCure All Stars F,"$8,557,763",-,-,"$8,557,763",100%
194,Dream,"$8,317,251",-,-,"$8,317,251",100%
195,Vacaciones de verano,"$8,209,854",-,-,"$8,209,854",100%
196,On the Wandering Paths,"$8,187,125",-,-,"$8,187,125",100%
197,Weekend Rebels,"$8,184,539",-,-,"$8,184,539",100%
198,Ransomed,"$8,101,634","$142,101",1.80%,"$7,959,533",98.20%
199,Checker Tobi und die Reise zu den fliegenden Flüssen,"$7,953,344",-,-,"$7,953,344",100%
200,The Silent Service,"$7,836,539",-,-,"$7,836,539",100%
Rank,,,,,,
Latest Updates: News | Daily | Weekend | All Time | International | Showdowns,,,,,,
Glossary | User Guide | License IMDb Data | Help,,,,,,
BoxOfficeMojo.com by IMDbPro - an IMDb company.,,,,,,
"© IMDb.com, Inc. or its affiliates. All rights reserved. Box Office Mojo and IMDb are trademarks or registered trademarks of IMDb.com, Inc. or its affiliates. Conditions of Use and Privacy Policy under which this service is provided to you.",,,,,,
